fp_int_id,cp_level,cp_r_citing_zero,cp_r_citing_nonzero,tr_citing,cp_r_cited_zero,cp_r_cited_nonzero,tr_cited
9907233,2,2,0,0,1,1,5
9512380,232,13,219,1770,149,83,190
8004,24,1,23,95,5,19,59
9802433,74,4,70,578,1,73,633
101259,4,2,2,4,0,4,48
9902334,46,5,41,251,0,46,340
9307263,6,2,4,10,6,0,0
9505429,13,3,10,22,8,5,9
9504426,47,9,38,131,8,39,68
106219,75,1,74,902,5,70,212
9303241,50,6,44,178,27,23,23
9609311,7,3,4,4,0,7,22
9801236,1,1,0,0,0,1,1
9912458,14,2,12,25,1,13,38
108041,11,7,4,4,0,11,56
9505336,15,4,11,29,7,8,14
9809523,6,5,1,2,0,6,20
9309228,15,6,9,14,15,0,0
9810432,18,2,16,49,0,18,70
102083,4,3,1,1,0,4,20
9405264,1,1,0,0,1,0,0
9308258,3,2,1,1,1,2,4
9304275,28,5,23,86,28,0,0
9509207,10,4,6,17,5,5,5
9302288,34,8,26,77,17,17,17
9306242,73,10,63,257,73,0,0
9406372,41,9,32,90,27,14,15
9607437,68,5,63,576,30,38,51
9903262,25,6,19,45,1,24,78
9507212,82,6,76,554,19,63,136
9506350,53,6,47,188,10,43,101
9802334,101,12,89,472,43,58,222
9901245,25,3,22,74,0,25,241
9912358,59,10,49,141,7,52,346
9402231,45,9,36,100,45,0,0
9611277,33,1,32,143,11,22,81
9811460,7,5,2,2,1,6,42
9907216,10,5,5,10,1,9,21
9801431,45,3,42,208,2,43,206
9211293,9,3,6,14,9,0,0
9210256,21,1,20,59,21,0,0
9710406,7,1,6,20,3,4,5
9208243,15,9,6,19,15,0,0
9808277,17,3,14,50,7,10,10
9710403,15,1,14,46,1,14,55
9703261,5,2,3,5,0,5,9
9602399,4,4,0,0,1,3,3
9708437,13,6,7,11,0,13,146
9604343,20,8,12,16,1,19,71
9608415,22,7,15,27,3,19,53
9705229,8,3,5,6,0,8,28
103299,17,3,14,45,0,17,109
105194,11,8,3,5,0,11,56
9805235,6,2,4,7,1,5,20
5189,40,5,35,152,0,40,541
9809338,8,5,3,3,1,7,24
7338,13,4,9,21,2,11,25
9606203,42,5,37,215,3,39,129
9703246,35,2,33,85,1,34,257
9712254,14,5,9,17,2,12,23
9409243,36,3,33,163,7,29,39
9509325,37,4,33,159,4,33,104
106040,9,4,5,10,0,9,26
9703290,79,18,61,222,1,78,585
9605221,46,2,44,242,4,42,106
9205221,35,7,28,112,35,0,0
9308349,98,5,93,962,85,13,13
9909473,19,1,18,71,1,18,18
9909455,13,5,8,12,2,11,22
9912270,4,1,3,3,4,0,0
9604340,38,4,34,225,3,35,97
9710428,7,3,4,7,1,6,21
9401254,83,8,75,420,22,61,61
9608466,20,3,17,39,3,17,59
9710204,59,5,54,229,19,40,55
9209245,36,7,29,213,36,0,0
9406368,16,4,12,34,1,15,67
9605425,1,1,0,0,0,1,2
9705422,12,5,7,19,0,12,36
9507442,12,5,7,20,1,11,23
9607309,10,2,8,16,1,9,41
9907489,48,3,45,294,0,48,544
9706354,16,10,6,11,1,15,63
9501232,19,3,16,41,19,0,0
9610276,23,8,15,31,14,9,20
9908388,17,7,10,45,1,16,48
9705295,15,3,12,41,0,15,58
9909435,22,4,18,59,0,22,167
9312357,7,1,6,20,5,2,2
9611224,5,3,2,4,0,5,28
9409418,7,5,2,2,0,7,49
9907501,6,1,5,10,0,6,47
9708327,26,4,22,65,0,26,309
9410387,57,6,51,295,7,50,140
9405346,40,4,36,155,1,39,176
9511391,22,2,20,68,1,21,77
9803446,2,2,0,0,0,2,8
9609301,7,3,4,4,4,3,6
9408276,68,3,65,442,68,0,0
9405343,19,1,18,84,19,0,0
9907343,5,1,4,5,1,4,17
9708426,28,3,25,105,3,25,104
9610259,32,2,30,167,1,31,73
9912307,6,1,5,7,0,6,39
9702210,24,7,17,53,14,10,22
9706274,27,6,21,78,0,27,145
9705347,67,7,60,347,1,66,243
9606345,28,14,14,31,13,15,25
9904344,21,3,18,67,2,19,19
9308370,5,2,3,4,0,5,5
9701364,9,3,6,20,0,9,21
11394,11,4,7,16,0,11,120
9910491,77,2,75,611,1,76,581
9209247,9,4,5,7,9,0,0
9910247,29,4,25,140,0,29,289
1171,30,5,25,102,1,29,87
107265,29,3,26,75,0,29,188
9812483,57,5,52,324,4,53,490
9908363,16,5,11,34,16,0,0
9908364,23,3,20,58,23,0,0
9905292,24,4,20,55,0,24,197
9807415,51,5,46,259,1,50,231
9402226,5,3,2,2,1,4,11
9802271,6,2,4,8,0,6,46
9709502,16,3,13,35,1,15,56
9401306,8,3,5,6,3,5,6
9610458,16,1,15,69,0,16,48
9701257,14,6,8,18,13,1,2
1194,6,3,3,4,0,6,13
9807480,41,2,39,247,2,39,134
9908504,40,2,38,189,0,40,421
9606280,57,9,48,218,12,45,86
9903473,17,2,15,35,3,14,62
9405223,15,5,10,13,3,12,40
9501390,17,4,13,34,5,12,39
10196,4,2,2,2,0,4,8
9712387,9,3,6,15,1,8,21
9405241,85,1,84,695,29,56,117
9604202,41,7,34,91,3,38,183
203075,6,3,3,4,2,4,10
9601383,7,3,4,6,7,0,0
9602323,33,4,29,94,25,8,8
9611273,30,6,24,85,0,30,131
9512354,4,2,2,3,0,4,9
10086,16,4,12,27,1,15,51
9807215,3,2,1,1,0,3,13
9402205,13,2,11,52,0,13,55
111059,65,6,59,241,4,61,186
9612359,6,4,2,3,0,6,31
102304,16,3,13,65,0,16,186
9811402,9,2,7,20,3,6,6
9903501,29,4,25,123,0,29,134
106345,14,3,11,31,0,14,148
9904393,48,6,42,221,9,39,204
9901357,6,2,4,4,4,2,2
107310,13,3,10,30,1,12,28
102252,23,1,22,65,1,22,177
9805242,5,3,2,3,1,4,9
9506270,11,5,6,15,8,3,4
7236,2,2,0,0,0,2,6
9810241,19,3,16,52,1,18,28
9808278,15,4,11,25,2,13,40
9909368,13,5,8,17,5,8,11
9608342,5,4,1,1,2,3,5
10117,13,4,9,14,0,13,160
9905423,23,3,20,88,0,23,506
9909240,4,1,3,4,0,4,28
9035,1,1,0,0,0,1,3
9509373,18,11,7,14,15,3,3
204316,17,6,11,17,0,17,238
110315,6,4,2,2,0,6,32
9306280,2,2,0,0,0,2,2
204228,8,2,6,17,0,8,131
111069,20,1,19,95,0,20,185
9908299,20,1,19,59,0,20,160
1302,7,6,1,2,0,7,25
