fp_int_id,cp_level,cp_r_citing_zero,cp_r_citing_nonzero,tr_citing,cp_r_cited_zero,cp_r_cited_nonzero,tr_cited
9907233,1,1,0,0,0,1,5
8216,6,2,4,5,0,6,21
9811472,28,1,27,195,0,28,166
9405214,9,1,8,20,9,0,0
107180,4,1,3,4,4,0,0
209326,1,1,0,0,0,1,5
9906292,4,1,3,4,0,4,23
9504241,8,1,7,18,0,8,24
102263,0,0,0,0,0,0,0
9309211,4,1,3,5,3,1,1
9403230,28,2,26,145,6,22,30
9512399,9,5,4,8,0,9,42
9808333,36,1,35,238,0,36,178
9712495,37,2,35,260,37,0,0
1306,4,3,1,2,0,4,86
9810309,9,2,7,13,0,9,109
9805368,5,2,3,6,0,5,42
9508276,12,1,11,23,3,9,9
9802201,10,1,9,27,10,0,0
9509205,8,2,6,13,0,8,10
9510461,3,2,1,1,3,0,0
9506354,17,2,15,55,17,0,0
201137,0,0,0,0,0,0,0
9712287,38,2,36,308,0,38,115
9911202,18,2,16,78,0,18,91
9911309,9,2,7,23,5,4,4
9704225,16,2,14,66,0,16,198
9409396,10,3,7,14,0,10,39
9510313,11,2,9,33,2,9,13
9702318,25,2,23,133,0,25,110
108226,1,1,0,0,0,1,5
9807275,4,2,2,2,4,0,0
9910221,9,2,7,17,0,9,36
9701238,17,3,14,66,0,17,45
9511473,6,4,2,4,0,6,6
9902476,4,1,3,4,0,4,12
9901382,1,1,0,0,0,1,2
9504295,13,2,11,32,0,13,19
9209205,18,2,16,80,18,0,0
9703314,8,3,5,5,0,8,26
9705389,3,1,2,3,0,3,11
9511308,4,2,2,5,0,4,8
9308330,10,5,5,13,10,0,0
9402288,19,3,16,57,19,0,0
9704325,20,1,19,122,6,14,21
9603202,15,2,13,44,0,15,30
7343,1,1,0,0,0,1,1
9611453,15,1,14,53,0,15,63
9408344,29,2,27,167,29,0,0
9307326,17,3,14,50,17,0,0
10294,6,5,1,1,0,6,61
103314,4,1,3,5,4,0,0
9709443,10,1,9,37,0,10,74
5114,0,0,0,0,0,0,0
2123,16,1,15,55,0,16,302
9906512,65,2,63,801,0,65,488
9910347,16,2,14,49,0,16,394
101067,11,1,10,36,11,0,0
202093,10,1,9,29,0,10,10
9310216,4,1,3,4,0,4,8
9303291,13,2,11,61,13,0,0
9905215,33,2,31,225,0,33,114
9704273,30,1,29,196,30,0,0
9808276,2,2,0,0,0,2,18
9703286,17,1,16,73,0,17,54
9910301,8,3,5,7,0,8,13
9908529,17,3,14,50,0,17,31
9802440,55,3,52,510,0,55,292
9807281,9,2,7,10,0,9,19
9212259,7,5,2,5,7,0,0
9611375,8,2,6,12,0,8,22
9601249,19,3,16,91,0,19,53
9501287,9,1,8,24,9,0,0
9411377,16,1,15,56,16,0,0
9501389,1,1,0,0,1,0,0
9810479,36,2,34,244,0,36,181
9210229,12,1,11,32,12,0,0
9801415,8,1,7,24,0,8,43
9065,18,2,16,75,2,16,43
9709356,4,2,2,2,0,4,21
9808456,22,1,21,121,5,17,43
103320,7,2,5,13,0,7,67
9803309,8,1,7,25,1,7,11
9603353,7,2,5,7,0,7,21
9805247,14,2,12,36,0,14,14
9810319,10,1,9,29,2,8,12
9310281,8,1,7,21,8,0,0
9907385,43,2,41,556,1,42,42
4213,33,2,31,237,0,33,144
9702389,10,2,8,12,0,10,33
9811501,43,1,42,510,0,43,249
9910277,4,2,2,2,0,4,37
10212,40,2,38,324,0,40,497
207020,5,3,2,2,0,5,99
