fp_int_id,cp_level,cp_r_citing_zero,cp_r_citing_nonzero,tr_citing,cp_r_cited_zero,cp_r_cited_nonzero,tr_cited
9907233,3,3,0,0,1,2,10
9602366,39,19,20,35,11,28,106
1113,43,15,28,52,13,30,94
12271,23,5,18,32,0,23,125
9812396,73,13,60,341,0,73,711
9311243,44,12,32,103,10,34,54
9412324,42,11,31,125,28,14,28
9409399,2,1,1,1,1,1,1
9806412,30,12,18,29,18,12,12
8298,10,5,5,8,0,10,40
9707293,1,1,0,0,0,1,2
9507396,34,15,19,54,16,18,18
9407389,98,10,88,467,25,73,106
9403283,44,6,38,165,25,19,22
9504378,130,19,111,538,39,91,240
9512264,57,6,51,192,18,39,74
9505212,2,1,1,1,0,2,4
9701350,5,3,2,4,0,5,8
9805358,9,4,5,10,0,9,41
9908288,88,38,50,115,44,44,69
1133,15,8,7,14,0,15,76
9312303,5,2,3,6,1,4,11
9709297,14,3,11,17,6,8,24
9704229,7,7,0,0,3,4,11
9502309,24,11,13,38,1,23,88
9410364,29,10,19,51,7,22,45
9307342,43,12,31,72,43,0,0
106029,21,8,13,32,1,20,30
9907422,39,8,31,188,1,38,265
9304266,15,5,10,26,15,0,0
9305234,2,1,1,1,2,0,0
9205238,94,16,78,433,94,0,0
9406204,58,5,53,208,38,20,20
9502273,22,7,15,29,2,20,50
9503375,23,5,18,41,1,22,47
9408397,30,9,21,42,11,19,19
9302316,205,16,189,1563,205,0,0
9806272,58,6,52,245,10,48,139
9901388,59,7,52,221,3,56,505
9812344,34,3,31,171,3,31,112
9710516,57,5,52,246,54,3,4
2155,27,5,22,45,5,22,69
9901243,41,5,36,109,2,39,282
9911275,17,9,8,12,1,16,69
9612471,3,2,1,1,1,2,5
9901208,32,14,18,41,6,26,192
9808489,11,3,8,24,7,4,11
9809509,13,6,7,9,13,0,0
9904302,2,2,0,0,0,2,3
9403268,6,4,2,2,1,5,12
9711363,24,3,21,81,4,20,73
9612259,5,5,0,0,4,1,2
9408333,34,3,31,126,15,19,48
9301268,37,9,28,82,37,0,0
9509205,17,2,15,32,2,15,30
9704231,37,2,35,205,1,36,136
9304205,63,14,49,132,62,1,1
9210260,16,10,6,11,13,3,3
9903399,39,5,34,102,4,35,64
9501277,103,13,90,282,40,63,93
9502385,55,7,48,230,21,34,58
9207234,205,31,174,1393,205,0,0
9810371,42,6,36,173,0,42,485
9606251,58,2,56,454,1,57,158
9712219,8,5,3,3,0,8,115
108103,22,9,13,22,2,20,74
12155,32,5,27,105,11,21,43
9404281,71,11,60,440,30,41,67
9706512,30,2,28,70,0,30,116
12371,13,4,9,18,2,11,102
10162,3,2,1,1,0,3,19
9605408,101,9,92,789,3,98,457
9702410,13,2,11,18,2,11,38
9711216,12,2,10,28,0,12,192
9808453,5,2,3,4,0,5,44
9705245,19,5,14,37,1,18,62
9812392,23,8,15,34,1,22,219
9204207,49,12,37,135,49,0,0
9805337,15,4,11,29,7,8,29
9509346,16,5,11,22,4,12,39
9605441,37,6,31,113,4,33,49
9704287,55,8,47,211,10,45,111
9609530,27,6,21,41,3,24,67
9312348,2,1,1,1,1,1,2
9701392,13,5,8,9,2,11,34
9802277,17,10,7,13,3,14,99
9807254,26,3,23,67,3,23,120
9606444,18,3,15,51,4,14,26
9401226,76,11,65,257,9,67,403
9904267,101,6,95,562,0,101,652
9603420,105,5,100,907,11,94,613
9902476,3,1,2,2,0,3,9
9806435,14,5,9,14,2,12,20
9411415,20,7,13,58,20,0,0
9712385,15,3,12,27,0,15,100
9207240,16,2,14,35,16,0,0
9502230,4,2,2,5,0,4,16
9707313,28,1,27,186,1,27,113
9806344,107,25,82,301,30,77,177
9306230,80,20,60,191,80,0,0
9601201,22,7,15,34,5,17,27
9812433,2,2,0,0,0,2,16
9303273,39,10,29,94,10,29,30
9404313,65,7,58,271,55,10,11
9808430,2,2,0,0,0,2,11
9302284,21,3,18,39,21,0,0
9308203,19,10,9,26,19,0,0
9402225,42,13,29,79,7,35,59
9712237,10,2,8,15,5,5,8
9812371,39,6,33,138,3,36,160
9402326,26,6,20,36,2,24,57
9803236,4,4,0,0,1,3,12
9210211,12,5,7,7,12,0,0
9608206,12,4,8,11,2,10,20
9509312,44,8,36,191,4,40,96
106176,6,1,5,8,0,6,33
9604398,31,3,28,102,8,23,93
