cluster_id	intercluster_edges
258	145
187	331
1041	63
102	1143
28	2220
19	4270
409	146
3560	3
1415	6
48	1086
36	1285
2419	2
101	970
103	780
53	1867
2704	1
113	1933
27	3025
3	6699
694	120
2	6904
1227	50
86	1272
78	1689
1973	19
684	115
180	420
926	116
1102	83
170	905
39	2609
3258	19
26	2560
711	131
89	1600
1105	73
233	474
83	2483
806	232
651	100
154	545
68	2279
1523	9
18	5703
1127	63
267	585
368	424
56	1696
2399	8
234	571
966	112
45	1573
357	336
8	4141
192	572
322	246
701	209
1300	43
985	60
104	1203
604	111
264	357
1047	86
2062	1
288	414
2542	3
1670	49
1419	19
1119	120
1539	47
46	1338
1524	58
9	5671
1	7018
228	501
253	603
181	226
255	533
235	590
1311	48
1141	87
371	329
376	179
148	780
1108	34
978	38
359	198
436	187
1000	78
1137	62
224	456
657	51
309	480
417	174
650	103
735	64
201	625
65	2151
144	826
11	7774
59	1072
1087	70
32	2035
129	1179
353	244
456	176
296	318
177	948
226	533
87	1155
246	724
348	353
279	331
90	2078
70	1582
339	351
197	507
277	341
49	1397
63	1340
30	5330
260	344
97	778
164	781
237	639
85	1231
555	78
67	1305
1197	32
374	152
266	357
114	991
16	3592
1157	37
513	136
178	985
35	3616
122	1258
589	58
1893	6
272	490
42	1928
44	1921
10	5261
215	435
186	387
99	843
953	52
13	3131
1659	52
1147	48
444	252
432	207
313	495
1095	44
58	2269
460	114
1302	5
675	58
423	208
41	2524
211	560
118	852
758	82
5	2753
1353	42
243	686
1092	64
55	2599
37	2349
549	182
1710	11
204	691
128	1049
324	337
133	723
140	1078
386	312
184	600
1160	31
200	866
165	711
1366	53
77	776
315	374
637	95
608	159
912	118
909	102
311	372
370	212
531	320
1682	26
670	101
1900	7
1374	28
69	1391
696	107
310	471
852	60
435	265
869	147
365	253
1118	42
943	109
431	140
82	931
728	71
471	299
566	143
1884	13
918	74
1210	85
61	1599
1050	102
1316	13
904	56
355	134
988	35
47	1116
257	645
994	54
333	296
716	80
362	212
534	234
127	1082
121	542
29	1941
1112	82
1037	65
1198	73
364	438
1714	5
861	112
1527	6
52	1270
587	173
907	70
72	1387
722	76
710	70
4	1677
84	581
34	1181
419	166
1260	54
659	124
256	196
43	1000
88	767
198	509
259	493
1410	10
341	334
450	237
51	2676
1715	11
645	143
592	154
1036	28
554	153
337	50
220	43
691	28
883	14
1190	7
493	120
317	155
194	414
721	104
79	985
100	1223
20	4105
161	451
108	1087
210	528
136	485
483	158
503	105
81	1525
244	613
644	141
166	866
66	1270
403	280
162	764
25	2951
91	839
373	125
124	1547
428	306
303	311
23	1873
119	1598
1243	34
12	4897
1177	39
14	5533
781	76
433	234
3302	4
558	201
551	134
38	2762
331	540
646	118
75	1191
312	346
737	231
193	744
17	4432
627	110
265	160
130	534
0	8432
3090	11
21	2270
205	357
22	4130
307	485
367	381
150	1297
810	156
393	230
153	646
182	565
301	441
229	562
1170	16
152	1031
60	433
671	191
132	708
740	55
54	1441
1368	43
1154	26
284	662
273	195
2210	7
427	214
321	397
336	343
96	1520
236	605
2199	10
775	91
857	104
430	273
261	584
183	564
1532	11
143	518
688	113
553	69
62	313
917	43
511	39
2708	3
1833	9
599	138
320	91
453	347
1038	21
1216	56
1043	85
949	57
447	94
1531	34
2006	10
93	1107
484	237
3771	12
1581	16
219	430
2243	1
1073	41
1413	6
1140	35
1273	68
1109	62
1337	40
268	237
230	292
925	42
956	72
601	100
395	307
501	240
217	1154
1701	7
298	463
326	198
521	250
2229	4
2600	3
283	395
105	636
767	63
176	303
418	182
1284	27
64	819
750	109
448	173
227	198
630	176
540	108
222	157
389	328
986	42
661	50
1456	24
420	161
454	273
2287	7
239	184
487	213
3303	8
1111	25
1535	25
668	58
411	291
349	359
1259	42
459	129
571	63
414	164
446	104
685	177
392	218
1042	15
2257	1
773	101
490	160
116	1268
