,cp_level_x,cp_level_x,cp_level_x,cp_level_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,tr_citing_x,tr_citing_x,tr_citing_x,tr_citing_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,tr_cited_x,tr_cited_x,tr_cited_x,tr_cited_x,cp_level_y,cp_level_y,cp_level_y,cp_level_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,tr_citing_y,tr_citing_y,tr_citing_y,tr_citing_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,tr_cited_y,tr_cited_y,tr_cited_y,tr_cited_y,network_degree,network_degree,network_degree,network_degree,network_indegree,network_indegree,network_indegree,network_indegree,network_outdegree,network_outdegree,network_outdegree,network_outdegree,cluster_degree,cluster_degree,cluster_degree,cluster_degree,cluster_indegree,cluster_indegree,cluster_indegree,cluster_indegree,cluster_outdegree,cluster_outdegree,cluster_outdegree,cluster_outdegree,node_count
,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,
Cluster_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,40.96078431372549,4178,0,294,4.784313725490196,488,0,19,36.1764705882353,3690,0,279,272.52941176470586,27798,0,3322,10.598039215686274,1081,0,289,30.362745098039216,3097,0,166,245.5392156862745,25045,0,1057,29.127450980392158,2971.0,0.0,163.0,2.6666666666666665,272.0,0.0,8.0,26.46078431372549,2699.0,0.0,160.0,227.27450980392157,23182.0,0.0,2598.0,6.147058823529412,627.0,0.0,163.0,22.980392156862745,2344.0,0.0,124.0,207.55882352941177,21171.0,0.0,960.0,74.04901960784314,7553,21,295,40.96078431372549,4178,0,294,33.088235294117645,3375,0,74,40.90196078431372,4172.0,21.0,89.0,20.45098039215686,2086.0,0.0,89.0,20.45098039215686,2086.0,0.0,53.0,
1,41.44329896907217,4020,0,283,4.350515463917525,422,0,23,37.09278350515464,3598,0,267,316.50515463917526,30701,0,3497,6.22680412371134,604,0,243,35.21649484536083,3416,0,191,278.4020618556701,27005,0,1116,33.30927835051546,3231.0,0.0,172.0,2.5257731958762886,245.0,0.0,8.0,30.783505154639176,2986.0,0.0,171.0,286.3814432989691,27779.0,0.0,2909.0,3.814432989690722,370.0,0.0,172.0,29.49484536082474,2861.0,0.0,139.0,257.25773195876286,24954.0,0.0,990.0,68.75257731958763,6669,21,285,41.44329896907217,4020,0,283,27.309278350515463,2649,2,84,42.92783505154639,4164.0,20.0,89.0,21.463917525773194,2082.0,0.0,89.0,21.463917525773194,2082.0,0.0,51.0,
2,61.37931034482759,5340,0,399,7.885057471264368,686,0,50,53.49425287356322,4654,0,349,337.1264367816092,29330,0,2412,10.735632183908047,934,0,237,50.64367816091954,4406,0,162,291.91954022988506,25397,0,1134,34.03448275862069,2961.0,0.0,123.0,3.0229885057471266,263.0,0.0,11.0,31.011494252873565,2698.0,0.0,120.0,218.98850574712642,19052.0,0.0,1538.0,5.137931034482759,447.0,0.0,71.0,28.896551724137932,2514.0,0.0,93.0,187.68965517241378,16329.0,0.0,892.0,105.72413793103448,9198,35,423,61.37931034482759,5340,0,399,44.3448275862069,3858,1,219,34.57471264367816,3008.0,19.0,62.0,17.28735632183908,1504.0,0.0,57.0,17.28735632183908,1504.0,0.0,43.0,
3,42.72289156626506,3546,0,557,6.457831325301205,536,0,44,36.265060240963855,3010,0,513,221.73493975903614,18404,0,4697,9.036144578313253,750,0,407,33.68674698795181,2796,0,202,172.13253012048193,14287,0,830,28.987951807228917,2406.0,0.0,180.0,3.4939759036144578,290.0,0.0,11.0,25.49397590361446,2116.0,0.0,178.0,166.95180722891567,13857.0,0.0,2209.0,3.1686746987951806,263.0,0.0,86.0,25.819277108433734,2143.0,0.0,144.0,145.12048192771084,12045.0,0.0,681.0,66.32530120481928,5505,16,568,42.72289156626506,3546,0,557,23.602409638554217,1959,1,97,30.650602409638555,2544.0,13.0,74.0,15.325301204819278,1272.0,0.0,73.0,15.325301204819278,1272.0,0.0,41.0,
4,50.81707317073171,4167,0,315,9.463414634146341,776,0,72,41.353658536585364,3391,0,243,265.7317073170732,21790,0,1494,15.21951219512195,1248,0,217,35.59756097560975,2919,0,199,234.3170731707317,19214,0,1186,26.98780487804878,2213.0,0.0,79.0,2.8658536585365852,235.0,0.0,10.0,24.121951219512194,1978.0,0.0,78.0,192.40243902439025,15777.0,0.0,807.0,4.560975609756097,374.0,0.0,76.0,22.426829268292682,1839.0,0.0,75.0,180.3170731707317,14786.0,0.0,793.0,83.47560975609755,6845,19,381,50.81707317073171,4167,0,315,32.65853658536585,2678,0,128,35.1219512195122,2880.0,17.0,68.0,17.5609756097561,1440.0,0.0,53.0,17.5609756097561,1440.0,0.0,54.0,
5,37.5609756097561,3080,0,172,4.926829268292683,404,0,17,32.63414634146341,2676,0,158,221.52439024390245,18165,0,1621,5.2073170731707314,427,0,71,32.353658536585364,2653,0,157,218.03658536585365,17879,0,989,23.524390243902438,1929.0,0.0,103.0,2.573170731707317,211.0,0.0,7.0,20.951219512195124,1718.0,0.0,96.0,158.4390243902439,12992.0,0.0,1153.0,2.4878048780487805,204.0,0.0,43.0,21.036585365853657,1725.0,0.0,100.0,148.5731707317073,12183.0,0.0,552.0,74.28048780487805,6091,26,206,37.5609756097561,3080,0,172,36.71951219512195,3011,2,103,34.02439024390244,2790.0,17.0,64.0,17.01219512195122,1395.0,0.0,59.0,17.01219512195122,1395.0,0.0,45.0,
6,51.06410256410256,3983,0,550,7.217948717948718,563,0,62,43.84615384615385,3420,0,488,286.1025641025641,22316,0,3660,16.71794871794872,1304,0,213,34.34615384615385,2679,0,337,245.75641025641025,19169,0,1533,24.205128205128204,1888.0,0.0,82.0,2.5256410256410255,197.0,0.0,7.0,21.67948717948718,1691.0,0.0,78.0,157.33333333333334,12272.0,0.0,919.0,4.384615384615385,342.0,0.0,72.0,19.82051282051282,1546.0,0.0,60.0,156.84615384615384,12234.0,0.0,707.0,88.12820512820512,6874,20,635,51.06410256410256,3983,0,550,37.06410256410256,2891,0,376,34.97435897435897,2728.0,17.0,66.0,17.487179487179485,1364.0,0.0,56.0,17.487179487179485,1364.0,0.0,51.0,
7,52.41025641025641,4088,0,314,6.128205128205129,478,0,31,46.282051282051285,3610,0,299,291.20512820512823,22714,0,2706,10.833333333333334,845,0,234,41.57692307692308,3243,0,297,214.94871794871796,16766,0,1182,30.628205128205128,2389.0,0.0,161.0,2.6794871794871793,209.0,0.0,14.0,27.94871794871795,2180.0,0.0,155.0,197.05128205128204,15370.0,0.0,1719.0,4.717948717948718,368.0,0.0,124.0,25.91025641025641,2021.0,0.0,159.0,154.82051282051282,12076.0,0.0,657.0,78.78205128205128,6145,19,319,52.41025641025641,4088,0,314,26.371794871794872,2057,0,179,32.282051282051285,2518.0,16.0,69.0,16.141025641025642,1259.0,0.0,65.0,16.141025641025642,1259.0,0.0,39.0,
