cluster_id,nodes_in_cluster,intra_cluster_edges
0,4313,39241
1,3884,39129
2,3669,50071
3,3614,45516
4,3121,42675
5,3085,27566
6,2855,17842
7,2765,24085
8,1652,15078
9,1465,10266
10,1354,17619
11,709,8935
12,658,6376
13,565,2251
14,199,1347
15,183,497
16,141,1059
17,103,329
18,16,25
19,14,25
20,14,19
21,10,23
22,7,8
23,6,8
24,5,6
25,5,5
26,5,4
27,4,3
28,4,4
29,4,5
30,3,2
31,3,2
32,3,2
33,3,2
34,3,3
35,3,2
36,3,2
37,3,2
38,2,1
39,2,1
40,2,1
41,2,1
42,2,1
43,2,1
44,2,1
45,2,1
46,2,1
47,2,1
48,2,1
49,2,1
50,2,1
51,2,1
52,2,1
53,2,1
54,2,1
55,2,1
56,2,1
57,2,1
58,2,1
59,2,1
60,2,1
61,2,1
62,2,1
63,2,1
64,2,1
65,2,1
66,2,1
67,2,1
68,2,1
69,2,1
70,2,1
71,2,1
72,2,1
73,2,1
74,2,1
75,2,1
76,2,1
77,2,1
78,2,1
79,2,1
80,2,1
81,2,1
82,2,1
83,2,1
