cluster_id,cp_level_x,cp_level_x.1,cp_level_x.2,cp_level_x.3,cp_r_citing_zero_x,cp_r_citing_zero_x.1,cp_r_citing_zero_x.2,cp_r_citing_zero_x.3,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x.1,cp_r_citing_nonzero_x.2,cp_r_citing_nonzero_x.3,tr_citing_x,tr_citing_x.1,tr_citing_x.2,tr_citing_x.3,cp_r_cited_zero_x,cp_r_cited_zero_x.1,cp_r_cited_zero_x.2,cp_r_cited_zero_x.3,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x.1,cp_r_cited_nonzero_x.2,cp_r_cited_nonzero_x.3,tr_cited_x,tr_cited_x.1,tr_cited_x.2,tr_cited_x.3,cp_level_y,cp_level_y.1,cp_level_y.2,cp_level_y.3,cp_r_citing_zero_y,cp_r_citing_zero_y.1,cp_r_citing_zero_y.2,cp_r_citing_zero_y.3,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y.1,cp_r_citing_nonzero_y.2,cp_r_citing_nonzero_y.3,tr_citing_y,tr_citing_y.1,tr_citing_y.2,tr_citing_y.3,cp_r_cited_zero_y,cp_r_cited_zero_y.1,cp_r_cited_zero_y.2,cp_r_cited_zero_y.3,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y.1,cp_r_cited_nonzero_y.2,cp_r_cited_nonzero_y.3,tr_cited_y,tr_cited_y.1,tr_cited_y.2,tr_cited_y.3,network_degree,network_degree.1,network_degree.2,network_degree.3,network_indegree,network_indegree.1,network_indegree.2,network_indegree.3,network_outdegree,network_outdegree.1,network_outdegree.2,network_outdegree.3,cluster_degree,cluster_degree.1,cluster_degree.2,cluster_degree.3,cluster_indegree,cluster_indegree.1,cluster_indegree.2,cluster_indegree.3,cluster_outdegree,cluster_outdegree.1,cluster_outdegree.2,cluster_outdegree.3,node_count,edge_count,edge_density
,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,,,0.0
Cluster_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0,23.446083995459706,20656,0,399,5.485811577752554,4833,0,50,17.960272417707152,15823,0,349,77.33598183881952,68133,0,2412,7.163450624290579,6311,0,237,16.282633371169126,14345,0,162,72.48467650397276,63859,0,879,9.56632064590542,8294.0,0.0,85.0,1.867358708189158,1619.0,0.0,10.0,7.698961937716263,6675.0,0.0,81.0,35.84198385236448,31075.0,0.0,869.0,2.463667820069204,2136.0,0.0,85.0,7.102652825836217,6158.0,0.0,71.0,35.536332179930795,30810.0,0.0,541.0,43.98297389330306,38749,3,423,23.446083995459706,20656,0,399,20.53688989784336,18093,0,219,12.311778290993072,10662.0,1.0,60.0,6.267898383371825,5428.0,0.0,54.0,6.043879907621247,5234.0,0.0,42.0,881.0,14358.0,0.037039521205241975
1,22.701799485861184,17662,0,550,4.856041131105399,3778,0,62,17.845758354755784,13884,0,488,88.96015424164524,69211,0,3660,5.322622107969152,4141,0,213,17.37917737789203,13521,0,337,95.9318766066838,74635,0,1533,10.466057441253264,8017.0,0.0,100.0,1.9242819843342036,1474.0,0.0,11.0,8.54177545691906,6543.0,0.0,97.0,47.17885117493473,36139.0,0.0,1203.0,2.1201044386422976,1624.0,0.0,81.0,8.345953002610965,6393.0,0.0,93.0,47.483028720626635,36372.0,0.0,790.0,47.32133676092545,36816,2,635,22.701799485861184,17662,0,550,24.619537275064268,19154,0,411,12.584656084656086,9514.0,1.0,64.0,6.310846560846561,4771.0,0.0,60.0,6.273809523809524,4743.0,0.0,51.0,778.0,13031.0,0.04311288887124363
2,24.311004784688997,15243,0,846,3.9984051036682615,2507,0,49,20.312599681020732,12736,0,825,139.66347687400318,87569,0,10796,3.1674641148325358,1986,0,846,21.14354066985646,13257,0,600,130.07336523125997,81556,0,1529,11.998371335504887,7367.0,0.0,201.0,1.754071661237785,1077.0,0.0,8.0,10.2442996742671,6290.0,0.0,199.0,78.40390879478828,48140.0,0.0,3655.0,1.3257328990228012,814.0,0.0,201.0,10.672638436482085,6553.0,0.0,177.0,78.08794788273616,47946.0,0.0,1140.0,46.42583732057416,29109,7,846,24.311004784688997,15243,0,846,22.114832535885167,13866,0,229,14.811881188118813,8976.0,1.0,72.0,7.4950495049504955,4542.0,0.0,65.0,7.316831683168317,4434.0,0.0,51.0,627.0,11128.0,0.05670289578142277
3,23.85049833887043,14358,0,260,5.084717607973422,3061,0,46,18.76578073089701,11297,0,235,88.40863787375416,53222,0,2382,5.312292358803987,3198,0,163,18.538205980066444,11160,0,178,94.93853820598007,57153,0,1134,11.221476510067115,6688.0,0.0,123.0,1.9681208053691275,1173.0,0.0,11.0,9.253355704697986,5515.0,0.0,120.0,49.15771812080537,29298.0,0.0,1538.0,2.2181208053691277,1322.0,0.0,65.0,9.003355704697986,5366.0,0.0,93.0,50.968120805369125,30377.0,0.0,892.0,48.96511627906977,29477,6,265,23.85049833887043,14358,0,260,25.114617940199334,15119,0,208,12.516778523489933,7460.0,1.0,62.0,6.087248322147651,3628.0,0.0,57.0,6.429530201342282,3832.0,0.0,43.0,602.0,9526.0,0.0526586364917828
4,24.36898395721925,13671,0,542,6.390374331550802,3585,0,114,17.97860962566845,10086,0,428,77.66488413547238,43570,0,2345,8.57397504456328,4810,0,356,15.795008912655971,8861,0,239,73.84313725490196,41426,0,1051,8.464991023339318,4715.0,0.0,97.0,1.8132854578096949,1010.0,0.0,11.0,6.651705565529623,3705.0,0.0,93.0,33.048473967684025,18408.0,0.0,1048.0,2.208258527827648,1230.0,0.0,55.0,6.256732495511669,3485.0,0.0,80.0,33.193895870736085,18489.0,0.0,629.0,47.839572192513366,26838,6,559,24.36898395721925,13671,0,542,23.470588235294116,13167,0,263,10.89009009009009,6044.0,1.0,61.0,5.45945945945946,3030.0,0.0,56.0,5.43063063063063,3014.0,0.0,42.0,561.0,7644.0,0.04866310160427807
5,26.424710424710426,13688,0,444,5.866795366795367,3039,0,74,20.557915057915057,10649,0,429,101.21814671814671,52431,0,4445,7.06949806949807,3662,0,405,19.355212355212355,10026,0,408,94.03474903474904,48710,0,1423,9.938735177865613,5029.0,0.0,145.0,1.9189723320158103,971.0,0.0,20.0,8.019762845849803,4058.0,0.0,143.0,46.316205533596836,23436.0,0.0,2071.0,1.966403162055336,995.0,0.0,136.0,7.972332015810276,4034.0,0.0,139.0,43.76877470355731,22147.0,0.0,568.0,49.34942084942085,25563,5,456,26.424710424710426,13688,0,444,22.924710424710426,11875,0,158,12.862549800796813,6457.0,1.0,66.0,6.567729083665339,3297.0,0.0,66.0,6.294820717131474,3160.0,0.0,38.0,518.0,7028.0,0.05248575461341419
6,23.356435643564357,11795,0,464,5.55049504950495,2803,0,98,17.805940594059408,8992,0,366,83.42970297029703,42132,0,3124,7.865346534653465,3972,0,338,15.491089108910892,7823,0,212,68.88316831683169,34786,0,735,9.93673469387755,4869.0,0.0,152.0,2.2714285714285714,1113.0,0.0,17.0,7.66530612244898,3756.0,0.0,141.0,39.33469387755102,19274.0,0.0,1804.0,2.5551020408163265,1252.0,0.0,152.0,7.381632653061224,3617.0,0.0,112.0,37.487755102040815,18369.0,0.0,570.0,41.57425742574257,20995,5,479,23.356435643564357,11795,0,464,18.217821782178216,9200,0,133,10.282474226804124,4987.0,1.0,49.0,5.334020618556701,2587.0,0.0,49.0,4.948453608247423,2400.0,0.0,47.0,505.0,7050.0,0.0553983969825554
7,22.41286307053942,10803,0,263,4.831950207468879,2329,0,43,17.58091286307054,8474,0,248,79.51867219917013,38328,0,1981,5.356846473029045,2582,0,181,17.056016597510375,8221,0,184,86.41908713692946,41654,0,1105,8.813559322033898,4160.0,0.0,109.0,1.8389830508474576,868.0,0.0,8.0,6.97457627118644,3292.0,0.0,104.0,33.277542372881356,15707.0,0.0,1042.0,1.8516949152542372,874.0,0.0,73.0,6.961864406779661,3286.0,0.0,101.0,35.1271186440678,16580.0,0.0,519.0,45.219917012448136,21796,6,279,22.41286307053942,10803,0,263,22.807053941908713,10993,0,197,11.75635593220339,5549.0,1.0,61.0,5.625,2655.0,0.0,53.0,6.13135593220339,2894.0,0.0,47.0,482.0,6474.0,0.055848379499831784
