,cp_level_x,cp_level_x,cp_level_x,cp_level_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,tr_citing_x,tr_citing_x,tr_citing_x,tr_citing_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,tr_cited_x,tr_cited_x,tr_cited_x,tr_cited_x,cp_level_y,cp_level_y,cp_level_y,cp_level_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,tr_citing_y,tr_citing_y,tr_citing_y,tr_citing_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,tr_cited_y,tr_cited_y,tr_cited_y,tr_cited_y,network_degree,network_degree,network_degree,network_degree,network_indegree,network_indegree,network_indegree,network_indegree,network_outdegree,network_outdegree,network_outdegree,network_outdegree,cluster_degree,cluster_degree,cluster_degree,cluster_degree,cluster_indegree,cluster_indegree,cluster_indegree,cluster_indegree,cluster_outdegree,cluster_outdegree,cluster_outdegree,cluster_outdegree,node_count,edge_count
,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,,
Cluster_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19.474694104560623,70031,0,444,5.131813125695217,18454,0,74,14.342880978865406,51577,0,429,62.11512791991101,223366,0,4445,6.409343715239155,23048,0,405,13.065350389321468,46983,0,408,61.774193548387096,222140,0,1423,7.699034639409427,27116.0,0.0,145.0,1.7773992049971608,6260.0,0.0,20.0,5.9216354344122655,20856.0,0.0,143.0,29.357751277683136,103398.0,0.0,2071.0,1.9355479840999432,6817.0,0.0,136.0,5.7634866553094835,20299.0,0.0,139.0,29.369960249858035,103441.0,0.0,629.0,38.69410456062291,139144,4,456,19.474694104560623,70031,0,444,19.219410456062292,69113,0,322,10.4900947459087,36537.0,1.0,66.0,5.266724088429515,18344.0,0.0,66.0,5.223370657479185,18193.0,0.0,45.0,,18268.5
1,17.428528072837633,57427,0,550,4.376934749620637,14422,0,98,13.051593323216995,43005,0,488,59.074355083459785,194650,0,3660,5.249468892261001,17297,0,338,12.179059180576632,40130,0,337,58.846737481031866,193900,0,1533,7.674976628233094,24629.0,0.0,152.0,1.7531941414770957,5626.0,0.0,17.0,5.9217824867559985,19003.0,0.0,141.0,29.40729199127454,94368.0,0.0,1804.0,1.930196322842007,6194.0,0.0,152.0,5.744780305391088,18435.0,0.0,112.0,29.3652228108445,94233.0,0.0,790.0,34.747192716236725,114492,4,635,17.428528072837633,57427,0,550,17.31866464339909,57065,0,411,9.674418604651162,30784.0,1.0,66.0,4.828409805153991,15364.0,0.0,60.0,4.846008799497172,15420.0,0.0,51.0,,15392.0
2,17.887,53661,0,399,4.450333333333333,13351,0,50,13.436666666666667,40310,0,349,59.031,177093,0,2412,5.106,15318,0,237,12.781,38343,0,178,59.64,178920,0,1134,8.339835728952773,24369.0,0.0,123.0,1.7053388090349075,4983.0,0.0,11.0,6.634496919917864,19386.0,0.0,120.0,32.441820670773446,94795.0,0.0,1538.0,2.0171115674195756,5894.0,0.0,90.0,6.322724161533197,18475.0,0.0,93.0,32.383641341546884,94625.0,0.0,892.0,36.001666666666665,108005,3,423,17.887,53661,0,399,18.11466666666667,54344,0,254,10.677642980935875,30805.0,1.0,62.0,5.327209705372617,15369.0,0.0,57.0,5.350433275563258,15436.0,0.0,45.0,,15402.5
3,14.726041144004014,29349,0,542,4.085298544907175,8142,0,114,10.64074259909684,21207,0,428,42.59056698444556,84883,0,1863,4.925238334169594,9816,0,356,9.80080280983442,19533,0,225,41.75865529352735,83225,0,1045,6.5947643979057595,12596.0,0.0,91.0,1.5486910994764398,2958.0,0.0,15.0,5.046073298429319,9638.0,0.0,87.0,23.24973821989529,44407.0,0.0,874.0,1.6602094240837697,3171.0,0.0,79.0,4.93455497382199,9425.0,0.0,86.0,23.41256544502618,44718.0,0.0,558.0,28.27245358755645,56347,2,559,14.726041144004014,29349,0,542,13.546412443552434,26998,0,282,9.539163090128755,17781.0,1.0,60.0,4.746244635193133,8847.0,0.0,53.0,4.792918454935623,8934.0,0.0,42.0,,8890.5
4,12.947209653092006,25752,0,343,3.823529411764706,7605,0,88,9.1236802413273,18147,0,279,38.118652589240824,75818,0,3322,4.500754147812971,8952,0,343,8.446455505279035,16800,0,213,37.28154851684263,74153,0,1057,6.64900314795383,12673.0,0.0,163.0,1.5965372507869884,3043.0,0.0,14.0,5.052465897166842,9630.0,0.0,160.0,24.96432318992655,47582.0,0.0,2598.0,1.8405036726128017,3508.0,0.0,163.0,4.808499475341028,9165.0,0.0,124.0,24.796956977964324,47263.0,0.0,960.0,25.650578179989946,51019,2,343,12.947209653092006,25752,0,343,12.703368526897938,25267,0,242,8.919034852546917,16634.0,1.0,89.0,4.499731903485254,8392.0,0.0,89.0,4.419302949061662,8242.0,0.0,53.0,,8317.0
5,10.615621156211562,17261,0,293,3.554120541205412,5779,0,57,7.06150061500615,11482,0,257,22.66851168511685,36859,0,1391,3.819188191881919,6210,0,203,6.796432964329643,11051,0,132,23.303813038130382,37892,0,467,5.236057068741894,8074.0,0.0,122.0,1.566147859922179,2415.0,0.0,13.0,3.6699092088197145,5659.0,0.0,119.0,12.543450064850843,19342.0,0.0,1041.0,1.6264591439688716,2508.0,0.0,122.0,3.609597924773022,5566.0,0.0,77.0,12.62775616083009,19472.0,0.0,316.0,21.422509225092252,34833,1,302,10.615621156211562,17261,0,293,10.806888068880689,17572,0,179,6.678524374176548,10138.0,1.0,39.0,3.3550724637681157,5093.0,0.0,37.0,3.323451910408432,5045.0,0.0,39.0,,5069.0
6,11.758720930232558,16180,0,315,3.40625,4687,0,72,8.352470930232558,11493,0,243,35.667151162790695,49078,0,1494,3.921511627906977,5396,0,217,7.837209302325581,10784,0,199,35.723837209302324,49156,0,1186,6.440998487140696,8515.0,0.0,79.0,1.5537065052950076,2054.0,0.0,10.0,4.887291981845689,6461.0,0.0,78.0,24.550680786686836,32456.0,0.0,807.0,1.7972768532526475,2376.0,0.0,76.0,4.643721633888048,6139.0,0.0,75.0,24.5,32389.0,0.0,793.0,23.232558139534884,31968,2,381,11.758720930232558,16180,0,315,11.473837209302326,15788,0,128,8.534937888198758,10993.0,1.0,68.0,4.286490683229814,5521.0,0.0,53.0,4.248447204968944,5472.0,0.0,54.0,,5496.5
7,16.61949685534591,21140,0,846,3.1894654088050314,4057,0,49,13.43003144654088,17083,0,825,85.67610062893081,108980,0,10796,2.393081761006289,3044,0,846,14.226415094339623,18096,0,600,86.37893081761007,109874,0,1529,9.304383788254755,11249.0,0.0,201.0,1.5781637717121588,1908.0,0.0,8.0,7.726220016542597,9341.0,0.0,199.0,53.84615384615385,65100.0,0.0,3655.0,1.2845326716294458,1553.0,0.0,201.0,8.01985111662531,9696.0,0.0,177.0,54.02812241521919,65320.0,0.0,1140.0,34.193396226415096,43494,2,846,16.61949685534591,21140,0,846,17.57389937106918,22354,0,136,12.692372170997485,15142.0,1.0,72.0,6.331936295054485,7554.0,0.0,65.0,6.360435875943001,7588.0,0.0,51.0,,7571.0
