cluster_id	intercluster_edges
72	591
32	1529
14	3364
28	4719
307	6
50	912
68	1140
2	11046
0	13119
31	3109
16	5315
5	11157
7	13252
213	77
83	700
8	11823
337	9
19	3939
136	196
62	1053
361	9
96	378
59	1076
30	5912
807	1
860	3
3	6800
49	531
29	3413
21	2205
27	2847
70	889
156	158
4	12163
17	4904
79	632
45	2711
203	77
24	3596
64	902
33	2242
124	303
18	5303
151	132
23	5812
67	1092
164	89
12	9079
52	1323
26	3572
103	372
41	1761
10	7040
25	2459
63	1017
66	848
542	13
6	6365
197	74
179	158
115	393
173	183
55	777
1423	2
56	1685
51	3137
9	4612
634	3
395	5
220	14
323	2
20	4259
86	502
37	1266
104	333
13	2997
80	569
35	3091
219	42
222	74
111	68
128	51
223	17
88	282
34	1109
133	328
15	5027
39	704
147	168
170	110
1	9641
78	806
196	122
1300	4
109	223
61	713
696	2
114	303
43	1765
85	219
40	1667
149	108
119	228
374	11
74	400
144	75
138	113
73	403
158	136
1362	4
95	371
1580	1
160	121
204	78
92	302
48	780
36	1642
47	1114
225	73
38	886
106	184
105	166
1050	7
87	277
1120	3
195	66
182	95
253	15
861	1
145	261
688	4
255	50
11	4793
130	138
1234	4
141	187
1354	4
90	403
159	71
550	1
177	60
113	102
174	153
82	782
433	11
120	85
310	7
58	1250
188	35
249	55
1156	1
393	7
887	2
107	141
175	121
146	166
169	52
656	2
1638	5
1326	1
57	675
534	3
46	407
251	11
42	875
69	892
187	51
65	623
99	325
140	109
89	303
81	530
94	668
102	186
137	201
256	27
77	517
75	478
44	1468
978	3
314	32
53	470
242	46
116	127
162	66
1660	1
60	1027
71	410
1127	3
108	188
166	111
163	55
189	45
132	144
84	490
98	292
185	60
391	11
172	92
155	104
131	121
112	238
117	84
54	745
325	10
97	318
1562	4
190	58
750	2
279	9
176	61
559	4
218	47
714	4
202	42
1460	2
1382	5
184	142
214	22
380	9
553	10
1262	11
406	5
1722	1
200	32
263	38
233	17
125	156
22	2445
229	30
300	12
100	314
385	4
165	147
642	1
1485	4
1179	5
101	89
186	75
192	50
121	258
228	35
408	4
817	3
868	3
743	1
91	310
1554	1
878	1
157	109
152	126
274	15
1384	1
296	17
76	573
93	278
898	6
895	1
1246	2
1564	3
1671	8
224	71
126	85
118	134
259	26
702	1
890	2
178	53
1227	5
1219	5
1584	7
1603	1
1214	1
1339	4
143	145
122	181
291	11
110	103
142	103
1428	1
1311	1
1708	1
1732	1
1223	1
1273	1
331	15
217	45
409	2
127	59
1385	1
1675	2
313	23
1666	5
194	127
168	81
825	4
411	2
180	60
161	100
1677	1
153	175
154	128
288	20
139	62
739	3
1330	3
303	5
379	11
974	1
1314	2
862	1
778	3
305	24
539	3
1689	2
1247	1
1183	3
1237	3
934	1
295	15
417	7
712	2
694	9
304	9
945	2
939	2
545	8
437	5
678	1
548	11
1633	4
478	6
1238	1
171	69
135	93
191	49
167	89
1182	1
517	18
247	9
378	8
1636	5
704	1
272	39
1203	8
527	13
950	2
1464	3
752	2
290	9
181	58
246	16
555	6
567	4
1589	1
1573	7
1402	8
799	2
1615	1
1430	1
407	7
254	10
334	7
401	9
1725	6
1735	6
250	23
788	2
1480	11
1022	2
193	42
237	49
1235	1
971	1
942	1
183	64
1184	2
265	24
234	46
260	23
1538	1
1597	1
575	17
573	5
1096	2
123	122
1497	3
1417	4
330	8
236	16
207	58
1358	3
1337	8
1397	1
486	5
227	48
415	1
972	1
605	4
335	8
1111	1
1493	5
1380	6
1560	1
1710	3
894	1
208	34
717	3
628	3
372	8
308	5
1681	3
413	10
1074	1
1067	3
537	13
1011	1
1702	1
574	10
1482	5
1690	4
268	39
1245	2
129	73
1629	1
1609	2
1177	1
745	3
854	2
273	5
648	1
564	6
1140	2
899	3
1531	1
1587	4
970	2
997	2
757	5
1049	4
1060	1
287	22
206	38
257	36
283	11
521	8
1720	3
241	6
1441	4
1399	3
209	80
382	21
1456	2
1413	5
932	1
1387	12
1576	1
345	2
1656	2
1504	9
644	5
740	3
566	7
1221	4
1254	3
148	44
1699	2
134	151
826	1
212	28
262	6
346	5
1357	1
732	1
418	1
210	12
1024	2
824	6
676	2
1225	1
1147	2
838	2
772	2
419	3
1356	3
954	1
1117	2
729	1
1368	1
231	43
1550	3
150	47
1213	3
955	2
311	8
1039	2
595	4
578	1
1586	3
420	4
680	3
1004	1
1694	1
1268	5
1003	3
1391	5
252	20
211	35
1014	1
1449	1
1359	4
1367	1
593	1
392	6
201	25
386	7
1016	3
271	9
1224	3
1103	4
1565	1
848	1
477	5
692	2
760	2
818	1
1726	1
601	3
1288	3
1333	2
1719	2
280	22
554	5
1648	3
1590	1
876	1
1439	3
248	8
572	3
1685	1
423	6
1087	6
235	24
802	2
198	37
470	4
199	70
1403	6
852	2
424	5
830	3
551	10
1346	4
1469	1
400	5
333	2
1329	5
332	13
883	3
425	2
1277	2
328	8
338	4
590	3
215	33
1207	6
828	4
269	18
888	1
1256	3
695	1
1505	2
261	41
641	1
282	16
933	3
995	2
549	4
312	21
1433	7
773	2
1701	3
1332	7
414	2
1305	4
289	3
1053	1
1197	2
766	3
1297	3
266	20
880	2
923	1
1026	2
569	5
434	10
402	12
658	1
1605	3
1054	1
1729	2
240	6
568	1
1318	1
1663	3
736	7
1662	2
286	13
1453	3
216	11
1608	1
619	1
428	2
277	9
533	12
823	1
711	1
1432	4
275	20
651	2
1383	3
427	2
1031	2
244	35
657	1
594	2
1516	5
1302	4
1700	1
1654	1
558	5
866	3
561	5
1251	1
1062	2
297	23
1730	1
577	1
1525	2
884	3
1507	4
544	9
429	4
1448	5
1574	1
1669	3
1572	3
230	5
794	3
1374	1
1465	2
1068	2
1228	3
1289	2
1082	1
1680	4
1027	3
1102	2
1579	2
639	1
908	4
1715	2
316	4
1684	4
951	1
1084	5
431	6
1048	2
1047	1
999	4
239	13
388	6
1645	2
1553	2
1264	3
1457	2
1072	1
432	3
301	5
1454	9
1463	4
1661	2
1204	1
832	1
737	1
1141	1
1075	1
405	8
1470	2
430	1
1697	2
526	7
956	2
1717	3
399	5
979	1
1206	1
1641	1
563	6
336	7
1151	1
285	10
