Node_ID,cp_level_x,cp_r_citing_zero_x,cp_r_citing_nonzero_x,tr_citing_x,cp_r_cited_zero_x,cp_r_cited_nonzero_x,tr_cited_x,Cluster_ID,cp_level_y,cp_r_citing_zero_y,cp_r_citing_nonzero_y,tr_citing_y,cp_r_cited_zero_y,cp_r_cited_nonzero_y,tr_cited_y,network_degree,network_indegree,network_outdegree,cluster_degree,cluster_indegree,cluster_outdegree
9907233,3,3,0,0,1,2,10,100,1.0,1.0,0.0,0.0,0.0,1.0,5.0,14,3,11,7.0,1.0,6.0
9409371,61,10,51,197,51,10,10,67,29.0,3.0,26.0,109.0,23.0,6.0,6.0,64,61,3,19.0,18.0,1.0
9303284,190,34,156,1451,90,100,100,34,76.0,7.0,69.0,854.0,20.0,56.0,56.0,191,190,1,55.0,54.0,1.0
11358,4,3,1,1,1,3,5,372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,10,4.0,2.0,2.0
9809311,111,4,107,730,1,110,775,1,72.0,2.0,70.0,530.0,0.0,72.0,653.0,134,111,23,60.0,48.0,12.0
9308246,314,15,299,2372,102,212,286,6,128.0,5.0,123.0,1106.0,16.0,112.0,169.0,318,314,4,45.0,43.0,2.0
9408382,49,6,43,224,49,0,0,7,27.0,4.0,23.0,115.0,27.0,0.0,0.0,50,49,1,14.0,14.0,0.0
6280,12,4,8,18,0,12,98,7,7.0,2.0,5.0,11.0,0.0,7.0,50.0,52,12,40,13.0,4.0,9.0
9904379,9,5,4,7,2,7,22,32,1.0,1.0,0.0,0.0,0.0,1.0,4.0,30,9,21,6.0,2.0,4.0
9902334,52,5,47,310,0,52,451,34,44.0,5.0,39.0,267.0,0.0,44.0,396.0,78,52,26,46.0,30.0,16.0
108195,9,6,3,3,3,6,9,239,2.0,2.0,0.0,0.0,2.0,0.0,0.0,19,9,10,3.0,2.0,1.0
9206236,122,28,94,412,122,0,0,34,24.0,3.0,21.0,119.0,24.0,0.0,0.0,122,122,0,10.0,10.0,0.0
211224,2,2,0,0,0,2,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,2,43,5.0,0.0,5.0
9506461,57,14,43,242,14,43,146,48,30.0,6.0,24.0,140.0,12.0,18.0,49.0,71,57,14,23.0,22.0,1.0
9203216,56,32,24,54,56,0,0,35,6.0,3.0,3.0,6.0,6.0,0.0,0.0,56,56,0,4.0,4.0,0.0
102227,53,4,49,203,2,51,338,19,26.0,2.0,24.0,105.0,1.0,25.0,125.0,79,53,26,21.0,16.0,5.0
10354,34,4,30,169,7,27,71,165,31.0,2.0,29.0,164.0,12.0,19.0,19.0,52,34,18,28.0,27.0,1.0
9704312,28,7,21,62,6,22,50,33,17.0,2.0,15.0,49.0,4.0,13.0,24.0,35,28,7,14.0,12.0,2.0
9503213,21,9,12,28,6,15,42,43,7.0,2.0,5.0,12.0,4.0,3.0,3.0,28,21,7,4.0,3.0,1.0
9611363,96,16,80,367,12,84,281,25,38.0,3.0,35.0,146.0,2.0,36.0,143.0,108,96,12,31.0,24.0,7.0
9708357,25,8,17,45,3,22,46,33,8.0,3.0,5.0,14.0,0.0,8.0,13.0,38,25,13,8.0,6.0,2.0
9807558,4,2,2,2,0,4,10,403,1.0,1.0,0.0,0.0,0.0,1.0,3.0,7,4,3,1.0,0.0,1.0
9907462,11,3,8,18,0,11,142,33,8.0,1.0,7.0,14.0,0.0,8.0,73.0,96,11,85,18.0,3.0,15.0
9512355,33,9,24,69,33,0,0,4,8.0,2.0,6.0,14.0,8.0,0.0,0.0,33,33,0,9.0,9.0,0.0
106098,15,6,9,25,0,15,67,37,5.0,2.0,3.0,5.0,0.0,5.0,5.0,32,15,17,12.0,7.0,5.0
9406401,13,10,3,5,5,8,24,26,5.0,3.0,2.0,3.0,2.0,3.0,10.0,24,13,11,4.0,3.0,1.0
9709297,17,4,13,20,7,10,33,26,1.0,1.0,0.0,0.0,1.0,0.0,0.0,33,17,16,2.0,2.0,0.0
9905468,2,1,1,1,0,2,9,26,1.0,1.0,0.0,0.0,0.0,1.0,4.0,18,2,16,2.0,0.0,2.0
9212229,38,16,22,65,38,0,0,35,9.0,3.0,6.0,11.0,9.0,0.0,0.0,38,38,0,7.0,7.0,0.0
9304249,11,4,7,17,6,5,5,19,3.0,2.0,1.0,1.0,0.0,3.0,3.0,12,11,1,6.0,6.0,0.0
9409457,17,11,6,7,7,10,12,157,4.0,1.0,3.0,4.0,0.0,4.0,4.0,20,17,3,5.0,4.0,1.0
9903294,66,3,63,618,0,66,686,2,61.0,4.0,57.0,585.0,0.0,61.0,655.0,85,66,19,55.0,41.0,14.0
